HS6,HS6_name,k,k_name_short,k_name,Sub_sector_name,Sector_name,Excluded_from,Reason
030624,"Crabs, even smoked, whether in shell or not, live, fresh, chilled, dried, salted or in brine, incl. crabs in shell, cooked by steaming or by boiling in water",0306Xd,"Crabs, not frozen","Crabs, whether in shell or not, live, fresh or chilled, dried, salted, smoked or in brine",Fish & shellfish,Sea animal products,,
030625,"Norway lobsters ""Nephrops norvegicus"", even smoked, whether in shell or not, live, fresh, chilled, dried, salted or in brine, incl. lobsters in shell, cooked by steaming or by boiling in water",03XXXX,"Aquatic invertebrates & edible meals, n.e.s.","Live, fresh, chilled, frozen, dried, salted or in brine, even smoked, aquatic invertebrates n.e.s.; all flours, meals and pellets of aquatic invertebrates, fit for human consumption",Fish & shellfish,Sea animal products,,
030626,"Cold-water shrimps and prawns ""Pandalus spp., Crangon crangon"", even smoked, whether in shell or not, live, fresh, chilled, dried, salted or in brine, incl. shrimps and prawns in shell, cooked by steaming or by boiling in water",0306Xe,"Shrimps & prawns, not frozen","Shrimps and prawns, whether in shell or not, live, fresh or chilled, dried, salted, smoked or in brine",Fish & shellfish,Sea animal products,,
030627,"Shrimps and prawns, even smoked, whether in shell or not, live, fresh, chilled, dried, salted or in brine, incl. shrimps and prawns in shell, cooked by steaming or by boiling in water (excluding cold-water shrimps and prawns)",0306Xe,"Shrimps & prawns, not frozen","Shrimps and prawns, whether in shell or not, live, fresh or chilled, dried, salted, smoked or in brine",Fish & shellfish,Sea animal products,,
030629,"Crustaceans, even smoked, fit for human consumption, whether in shell or not, live, fresh, chilled, dried, salted or in brine, incl. crustaceans in shell, cooked by steaming or by boiling in water (excluding rock lobster and other sea crawfish, lobsters, crabs, Norway lobsters, shrimps and prawns); flours, meals and pellets of crustaceans, even smoked, fit for human consumption",03XXXX,"Aquatic invertebrates & edible meals, n.e.s.","Live, fresh, chilled, frozen, dried, salted or in brine, even smoked, aquatic invertebrates n.e.s.; all flours, meals and pellets of aquatic invertebrates, fit for human consumption",Fish & shellfish,Sea animal products,,
030631,"Rock lobster and other sea crawfish ""Palinurus spp., Panulirus spp. and Jasus spp."", whether in shell or not, live, fresh or chilled",0306Xb,Rock lobster & sea crawfish,"Rock lobster and other sea crawfish ""Palinurus spp., Panulirus spp. and Jasus spp."", whether in shell or not",Fish & shellfish,Sea animal products,,
030632,"Lobsters ""Homarus spp."", whether in shell or not, live, fresh or chilled",0306Xc,"Lobster ""Homarus spp.","Lobsters ""Homarus spp."", whether in shell or not",Fish & shellfish,Sea animal products,,
030633,"Crabs, whether in shell or not, live, fresh or chilled",0306Xd,"Crabs, not frozen","Crabs, whether in shell or not, live, fresh or chilled, dried, salted, smoked or in brine",Fish & shellfish,Sea animal products,,
030634,"Norway lobsters ""Nephrops norvegicus"", whether in shell or not, live, fresh or chilled",03XXXX,"Aquatic invertebrates & edible meals, n.e.s.","Live, fresh, chilled, frozen, dried, salted or in brine, even smoked, aquatic invertebrates n.e.s.; all flours, meals and pellets of aquatic invertebrates, fit for human consumption",Fish & shellfish,Sea animal products,,
030635,"Cold-water shrimps and prawns ""Pandalus spp., Crangon crangon"", whether in shell or not, live, fresh or chilled",0306Xe,"Shrimps & prawns, not frozen","Shrimps and prawns, whether in shell or not, live, fresh or chilled, dried, salted, smoked or in brine",Fish & shellfish,Sea animal products,,
