path,area,bytes,lines,flags
tests/test_analysis20_join_overlap_trim.py,tests,10997,180,
tests/test_analysis20_resume_from_partial.py,tests,6576,142,
tests/test_analysis20_trailing_fragment.py,tests,11715,224,
tests/test_analysis_history_storage.py,tests,16659,333,
tests/test_analyst_intersections_diagnostics_b2.py,tests,4933,95,
tests/test_analyst_synonym_rescue_d2.py,tests,5072,93,
tests/test_analyze_persistence_and_glyph.py,tests,15159,271,
tests/test_approved_silk_interfaces.py,tests,9192,165,
tests/test_audit_2026_08_27_fixes.py,tests,56161,1131,
tests/test_audit_2026_09_01_ext.py,tests,24491,465,
tests/test_audit_2026_09_01_p0.py,tests,18815,406,
tests/test_audit_2026_09_01_p3.py,tests,12771,244,
tests/test_audit_2026_09_01_r0.py,tests,18990,313,
tests/test_audit_2026_09_01_r2b.py,tests,26855,523,
tests/test_audit_2026_09_01_r3.py,tests,25777,465,
tests/test_audit_2026_09_01_r4.py,tests,44240,882,
tests/test_audit_2026_09_01_r5.py,tests,28448,608,
tests/test_audit_2026_09_01_r6.py,tests,18092,344,
tests/test_audit_2026_09_01_r7.py,tests,42536,832,
tests/test_audit_2026_09_01_r8.py,tests,16335,288,
tests/test_audit_2026_09_01_r9.py,tests,32623,630,
tests/test_audit_high_fixes.py,tests,18393,340,
tests/test_auto_enrich_pipeline_item1.py,tests,5922,120,
tests/test_backup_and_alerts.py,tests,8910,193,
tests/test_benchmark_battery_part2.py,tests,9093,162,
tests/test_bloc_lists_single_source.py,tests,3640,73,
tests/test_catalog_hs_provenance_gate.py,tests,9186,181,
tests/test_client_docx_mission_morphology_leak.py,tests,6130,86,
tests/test_client_export_redact_not_refuse.py,tests,5893,111,
tests/test_client_report_export.py,tests,37491,644,
tests/test_client_report_proposals.py,tests,6005,119,
tests/test_client_sanitizer_covers_guard.py,tests,7143,120,
tests/test_closure_package.py,tests,11138,189,
tests/test_command6_regression_budget_and_pricing.py,tests,19317,319,
tests/test_committed_samples_current.py,tests,11594,206,
tests/test_confidence_is_measured.py,tests,5009,99,
tests/test_consumer_culture_extraction.py,tests,5072,101,
tests/test_contract_coherence.py,tests,7931,148,
tests/test_cost_metering_honesty.py,tests,4871,101,
tests/test_cost_speed_e.py,tests,6041,131,
tests/test_cross_market_leak_guard.py,tests,8799,156,
tests/test_data_economics.py,tests,5083,115,
tests/test_deep_decision_engine.py,tests,22219,390,
tests/test_deferred_s58_fixes.py,tests,4564,92,
tests/test_diagnostics.py,tests,2269,59,
tests/test_download_gate_block.py,tests,8207,142,
tests/test_dza_quality_gate_fixes.py,tests,18749,315,
tests/test_e_section_substructure.py,tests,6882,121,
tests/test_early_halt_reason_text.py,tests,16832,263,
tests/test_economics_gates_awake.py,tests,4611,90,
tests/test_enrich_leads_item2.py,tests,8009,187,
tests/test_entity_price_extraction.py,tests,6955,126,
tests/test_env_documented.py,tests,9137,161,
tests/test_evidence_provenance.py,tests,5648,104,
tests/test_evidence_rank_and_estimate_tag.py,tests,5334,100,
tests/test_factory_report_language.py,tests,37065,625,
tests/test_find_all_gaps_s58_review.py,tests,3332,66,
tests/test_fix_pack_v2_1.py,tests,10048,212,
tests/test_g41_domestic_production_plausibility.py,tests,7507,127,
tests/test_gap_recovery.py,tests,18018,328,
tests/test_gap_recovery_revival.py,tests,20546,352,
tests/test_gap_recovery_taxonomy.py,tests,6741,130,
tests/test_gap_sweep2.py,tests,6012,133,
tests/test_gap_sweep3.py,tests,13722,300,
tests/test_gap_sweep3_gate.py,tests,14327,240,
tests/test_gap_sweep3_meta.py,tests,4608,94,
tests/test_gap_sweep3_surfaces.py,tests,12264,247,
tests/test_gate_client_reasons.py,tests,9302,171,
tests/test_gate_dead_guards_revival.py,tests,6019,107,
tests/test_gate_language_parity.py,tests,36199,626,
tests/test_gate_regression_locks_analysis7.py,tests,18005,316,
tests/test_gmaps_integration_c2345.py,tests,7398,161,
tests/test_gmaps_scraper_c1.py,tests,3394,82,
tests/test_goal1_competition_unit_and_direction.py,tests,13484,252,
tests/test_goal2_min_pillars.py,tests,8148,148,
tests/test_goal3_pillar_narrative_sync.py,tests,7715,144,
tests/test_goal4_hs_recommendation_match.py,tests,4547,92,
tests/test_goal5_derived_number_inputs.py,tests,6064,115,
tests/test_goal6_pricing_contradiction.py,tests,7016,137,
tests/test_goal7_verdict_evidence_direction.py,tests,5820,135,
tests/test_goal8_counter_case_two_pillars.py,tests,3082,64,
tests/test_goal9_10_hs_reference_and_label.py,tests,3784,78,
tests/test_goal_cost_input_wave2.py,tests,9764,205,
tests/test_goal_cost_wave8.py,tests,15531,319,
tests/test_goal_estimation_wave7.py,tests,17162,335,
tests/test_goal_full_report_zero_hits.py,tests,3556,74,
tests/test_goal_inference_wave6.py,tests,8320,154,
tests/test_goal_p2_text_checks.py,tests,15970,272,
tests/test_goal_prose_wave5.py,tests,7689,146,
tests/test_goal_summary_wave4.py,tests,7791,144,
tests/test_goal_units_wave1.py,tests,11351,218,
tests/test_goal_vocab_wave3.py,tests,8385,164,
tests/test_golden_deep_research_contract.py,tests,11466,196,
tests/test_golden_set.py,tests,5503,121,
tests/test_hf_attribution_truncation_plausibility.py,tests,15710,288,
tests/test_history_sidebar_server_backed.py,tests,11287,260,
tests/test_hs_attribute_autoresolve.py,tests,38561,673,
tests/test_hs_attribute_gate_wiring.py,tests,20227,375,
tests/test_hs_axis_disambiguation.py,tests,4913,94,
tests/test_hs_butter_family_resolution.py,tests,4325,71,
tests/test_hs_catalog_revalidation.py,tests,8833,144,
tests/test_hs_dialog_official_source.py,tests,18682,322,
tests/test_hs_from_image.py,tests,7523,141,
tests/test_hs_gate_verdict_and_error_transparency.py,tests,31240,570,
tests/test_hs_general_classifier.py,tests,39505,580,
tests/test_hs_generic_term_granularity.py,tests,7410,127,
tests/test_hs_golden_set.py,tests,6166,118,
tests/test_hs_halva_brandname_gap.py,tests,8201,121,
tests/test_hs_llm_fallback.py,tests,9433,148,
tests/test_hs_no_wrong_auto_approval.py,tests,7929,142,
tests/test_hs_processed_vs_raw.py,tests,9263,160,
tests/test_hs_selfreview_gaps.py,tests,7961,124,
tests/test_hs_substring_false_positives.py,tests,7032,119,
tests/test_imf_wto_deep_research_wiring.py,tests,5668,101,
tests/test_importer_leads_render_c5.py,tests,6684,124,
tests/test_item3_analyze_screen_button.py,tests,3310,62,
tests/test_layer_valves.py,tests,5821,120,
tests/test_lessons_enforcement.py,tests,144953,2135,
tests/test_limits_reconciliation_b1.py,tests,9266,154,
tests/test_live_report_findings.py,tests,3451,58,
tests/test_live_report_findings2.py,tests,8576,145,
tests/test_live_smoke.py,tests,2588,45,
tests/test_llm_provider_retry.py,tests,9448,214,
tests/test_m0_hotfixes.py,tests,6094,141,
tests/test_m1_store.py,tests,9357,194,
tests/test_m2_pipeline.py,tests,7891,147,
tests/test_mandated_literals_cross_reference.py,tests,9175,165,
tests/test_manual_hs_code_passthrough.py,tests,7431,125,
tests/test_market_sizing_boundaries.py,tests,11592,199,
tests/test_marketing_revision.py,tests,6317,112,
tests/test_master_prompt_part2_numeric_consistency.py,tests,6638,109,
tests/test_master_prompt_part2_source_coverage.py,tests,5331,106,
tests/test_master_prompt_part2_verdict.py,tests,8227,147,
tests/test_merchant_language_b3.py,tests,7355,135,
tests/test_mission_cost_attribution.py,tests,7497,141,
tests/test_money_path_day_bucket.py,tests,3130,61,
tests/test_narrative_binding_and_timeline.py,tests,9646,169,
tests/test_narrative_grounding_and_corpus.py,tests,8394,156,
tests/test_no_ellipsis_build_rule.py,tests,7560,126,
tests/test_one_economics_path.py,tests,5367,98,
tests/test_one_gap_channel_and_denominators.py,tests,9878,177,
tests/test_ops_observability.py,tests,18070,341,
tests/test_out_of_coverage_guard.py,tests,10306,197,
tests/test_owner_followup_2026_09_07.py,tests,6024,130,
tests/test_owner_hs_provenance.py,tests,4993,111,
tests/test_p0_wiring_and_confidence.py,tests,7074,128,
tests/test_p1_narrative.py,tests,7818,154,
tests/test_p1_suggest_price.py,tests,3155,62,
tests/test_p2_dynamics_agent.py,tests,5174,104,
tests/test_p2_report_structure.py,tests,4241,80,
tests/test_p2_scope_and_dynamic_markets.py,tests,5861,115,
tests/test_p3_prefs_and_chat.py,tests,6138,133,
tests/test_p4_contextual_chat.py,tests,9194,174,
tests/test_p4_resilient_fetch.py,tests,6270,130,
tests/test_p5_judge_and_reach.py,tests,6285,131,
tests/test_part_b_writing_standard.py,tests,4952,95,
tests/test_pdf_textlayer.py,tests,9236,181,
tests/test_persistent_volume.py,tests,17401,357,
tests/test_phase2b_mission_depth.py,tests,6892,138,
tests/test_phase2c_a_mirror_statistics.py,tests,9280,210,
tests/test_phase2c_b_eurostat.py,tests,8871,192,
tests/test_pillar_paidcap_review_fixes.py,tests,12606,233,
tests/test_plain_language_reports.py,tests,12174,206,
tests/test_platform_admin_overview.py,tests,14672,222,
tests/test_platform_audit_fixes.py,tests,5982,122,
tests/test_platform_auth.py,tests,23246,477,
tests/test_platform_billing.py,tests,2861,53,
tests/test_platform_bootstrap.py,tests,17708,333,
tests/test_platform_capacity_2026_09_07.py,tests,3289,75,
tests/test_platform_checkout.py,tests,14416,265,
tests/test_platform_concurrency.py,tests,9974,245,
tests/test_platform_cost_visibility.py,tests,19844,326,
tests/test_platform_deep_mode.py,tests,18094,366,
tests/test_platform_deep_real_path.py,tests,24561,436,
tests/test_platform_engine_honesty.py,tests,11821,229,
tests/test_platform_fake_seam_shape.py,tests,9367,145,
tests/test_platform_hs_two_paths.py,tests,7697,138,
tests/test_platform_i18n.py,tests,10201,187,
tests/test_platform_isolation.py,tests,7086,133,
tests/test_platform_isolation_ast_guard.py,tests,32188,445,
tests/test_platform_landing_page.py,tests,13425,234,
tests/test_platform_lifecycle.py,tests,9121,193,
tests/test_platform_notifications.py,tests,4457,95,
tests/test_platform_paid_cap_coverage.py,tests,3956,78,
tests/test_platform_pivot_bridge.py,tests,41209,837,
tests/test_platform_pivot_deletion_guard.py,tests,4417,89,
tests/test_platform_pricing.py,tests,4766,102,
tests/test_platform_products_profile_overview.py,tests,15278,305,
tests/test_platform_quota_and_wallet.py,tests,9691,197,
tests/test_platform_review_hardening.py,tests,21122,419,
tests/test_platform_roles.py,tests,8050,144,
tests/test_platform_seats_deletion_guard.py,tests,10321,172,
tests/test_platform_smtp_transport.py,tests,8657,185,
tests/test_platform_storage.py,tests,7846,170,
tests/test_platform_study_runtime.py,tests,43294,908,
tests/test_platform_tier_settings.py,tests,16419,287,
tests/test_platform_tiers_seats.py,tests,16108,315,
tests/test_platform_ui_page.py,tests,45441,694,
tests/test_platform_user_quota.py,tests,15332,298,
tests/test_pr147_review_fixes.py,tests,13892,250,
tests/test_pr254_review_fixes.py,tests,58412,1025,
tests/test_price_level_normalization.py,tests,10902,195,
tests/test_product_card_economics.py,tests,8214,142,
tests/test_product_intake_featureB.py,tests,11622,224,
tests/test_profiles_g1_g2.py,tests,9800,174,
tests/test_project_review_fixes.py,tests,15990,328,
tests/test_quota_reset_watermark.py,tests,4507,99,
tests/test_r1a_market_locale.py,tests,7921,175,
tests/test_r1b_competing_products.py,tests,7064,104,
tests/test_r1c_prose_pass.py,tests,7077,115,
tests/test_r2_chat_grounding.py,tests,5883,111,
tests/test_r3_trends_context.py,tests,7828,169,
tests/test_recover_tool_gate_override.py,tests,5004,107,
tests/test_regression_registry.py,tests,306653,4699,
tests/test_regulatory_hard_gates.py,tests,12106,209,
tests/test_repo_repair_2026_09_06.py,tests,11281,243,
tests/test_report_output_overhaul.py,tests,25809,485,
tests/test_report_plumbing_leaks.py,tests,32917,611,
tests/test_report_professional_tables.py,tests,6586,131,
tests/test_report_quality_scoping_pr_a.py,tests,13667,246,
tests/test_report_quality_scoping_pr_b.py,tests,8971,172,
tests/test_report_quality_upgrade.py,tests,46911,831,
tests/test_research_export_from_view.py,tests,7116,140,
tests/test_research_live_progress.py,tests,17566,345,
tests/test_research_report_quality.py,tests,11321,227,
tests/test_resume_completed_run_with_failed_mission.py,tests,10523,199,
tests/test_resume_retries_failed_missions.py,tests,4236,100,
tests/test_rf_positioning_confidence.py,tests,4562,76,
tests/test_risk_pillar_and_logistics.py,tests,7405,133,
tests/test_rung2_factory_language_flow.py,tests,16538,317,
tests/test_rung2_real_server.py,tests,8393,164,
tests/test_rung2_restart_drill.py,tests,9956,219,
tests/test_rung3_playwright_e2e.py,tests,33261,580,
tests/test_rung4_platform_real_bridge.py,tests,10911,201,
tests/test_s58_security_fixes.py,tests,10502,182,
tests/test_scheduled_refresh.py,tests,5596,110,
tests/test_self_review_gate.py,tests,7046,139,
tests/test_selfhosted_fonts.py,tests,2041,48,
tests/test_shopping_prices.py,tests,5914,126,
tests/test_sidebar_reopen_analysis.py,tests,10522,211,
tests/test_silk_portable_preview.py,tests,3150,67,
tests/test_smoke.py,tests,18646,402,
tests/test_sqlite_connection_hygiene.py,tests,5927,111,
tests/test_stage2a.py,tests,10718,213,
tests/test_stage2b.py,tests,3686,77,
